cgpa,attendance,aptitude_score,communication_score,technical_score,projects,internships,certifications,coding_skills,soft_skills,placed
6.53,70.0,65.0,71.0,84.0,2,0,4,45.0,91.0,0
6.85,87.0,81.0,61.0,33.0,5,1,5,68.0,60.0,0
8.45,78.0,52.0,96.0,49.0,2,1,0,35.0,60.0,0
6.32,99.0,30.0,50.0,51.0,5,0,1,73.0,41.0,0
7.97,72.0,29.0,65.0,57.0,2,2,6,48.0,66.0,0
5.59,90.0,40.0,65.0,31.0,1,1,5,81.0,77.0,0
6.8,79.0,39.0,71.0,72.0,6,1,7,50.0,80.0,0
7.25,88.0,60.0,58.0,74.0,3,2,6,71.0,69.0,0
7.63,73.0,42.0,70.0,71.0,4,0,6,62.0,81.0,0
7.74,77.0,50.0,62.0,44.0,4,1,4,73.0,78.0,0
7.81,77.0,49.0,40.0,63.0,2,0,7,60.0,84.0,0
6.79,68.0,55.0,65.0,44.0,6,0,3,25.0,82.0,0
6.68,86.0,87.0,47.0,55.0,2,0,7,78.0,91.0,0
7.87,86.0,75.0,37.0,100.0,6,0,3,56.0,64.0,1
6.93,85.0,63.0,67.0,63.0,3,1,3,74.0,47.0,0
5.95,96.0,55.0,73.0,38.0,0,0,5,72.0,77.0,0
6.08,95.0,55.0,73.0,64.0,0,1,3,43.0,79.0,0
6.27,74.0,69.0,74.0,35.0,6,0,1,40.0,91.0,1
7.55,82.0,74.0,34.0,38.0,3,0,7,71.0,86.0,1
7.23,71.0,47.0,43.0,41.0,2,3,3,52.0,96.0,0
7.72,78.0,64.0,97.0,53.0,5,1,7,77.0,76.0,1
6.72,71.0,26.0,48.0,79.0,4,2,3,54.0,70.0,0
7.24,97.0,67.0,75.0,72.0,4,1,7,78.0,46.0,1
7.66,82.0,77.0,54.0,71.0,4,0,4,66.0,72.0,0
6.82,75.0,58.0,66.0,40.0,1,1,6,64.0,59.0,0
7.51,92.0,96.0,55.0,51.0,0,1,6,51.0,70.0,1
6.5,52.0,47.0,74.0,66.0,5,0,1,63.0,68.0,0
6.77,54.0,67.0,67.0,49.0,0,2,6,82.0,74.0,0
6.76,88.0,62.0,58.0,56.0,5,1,7,57.0,66.0,1
6.02,79.0,61.0,48.0,69.0,0,1,5,69.0,81.0,0
7.54,81.0,61.0,69.0,54.0,1,1,7,59.0,26.0,0
6.68,62.0,65.0,46.0,65.0,4,1,6,60.0,70.0,0
7.11,78.0,78.0,72.0,91.0,4,0,5,92.0,85.0,1
7.53,100.0,88.0,100.0,58.0,5,3,3,82.0,95.0,1
7.5,88.0,63.0,87.0,83.0,4,0,6,60.0,78.0,0
7.7,80.0,78.0,76.0,72.0,0,0,1,62.0,92.0,0
7.01,73.0,50.0,64.0,33.0,5,0,4,44.0,70.0,0
6.72,73.0,77.0,34.0,40.0,1,1,6,55.0,67.0,0
7.03,52.0,49.0,44.0,45.0,0,3,7,64.0,75.0,0
5.58,81.0,83.0,86.0,45.0,6,2,2,75.0,67.0,0
5.8,88.0,100.0,52.0,59.0,1,1,0,73.0,55.0,0
5.91,59.0,61.0,54.0,73.0,3,3,2,36.0,59.0,0
6.2,70.0,24.0,62.0,85.0,3,1,6,78.0,50.0,0
7.46,64.0,53.0,48.0,67.0,5,0,4,56.0,75.0,0
6.29,66.0,85.0,45.0,53.0,0,1,0,38.0,67.0,0
6.76,79.0,73.0,64.0,21.0,0,0,0,85.0,62.0,0
8.27,53.0,67.0,51.0,62.0,2,0,2,87.0,58.0,1
6.78,85.0,81.0,53.0,61.0,3,0,2,63.0,75.0,0
7.76,87.0,72.0,53.0,64.0,5,0,1,72.0,79.0,0
6.26,75.0,85.0,73.0,100.0,4,2,3,73.0,50.0,0
6.92,48.0,80.0,61.0,85.0,1,3,3,86.0,48.0,0
6.24,66.0,90.0,62.0,76.0,6,0,1,73.0,81.0,0
6.79,93.0,69.0,75.0,43.0,3,1,1,31.0,46.0,0
7.86,45.0,79.0,63.0,51.0,6,0,5,98.0,75.0,1
5.55,74.0,57.0,61.0,59.0,6,0,7,79.0,91.0,0
7.49,64.0,52.0,73.0,46.0,0,0,7,48.0,91.0,0
7.31,88.0,94.0,76.0,71.0,3,0,4,37.0,78.0,0
6.57,70.0,67.0,63.0,68.0,2,0,0,68.0,78.0,0
5.8,83.0,77.0,66.0,40.0,3,0,7,52.0,100.0,0
7.16,85.0,65.0,52.0,84.0,2,0,7,65.0,32.0,0
6.62,100.0,52.0,51.0,63.0,3,0,2,73.0,60.0,0
7.31,76.0,63.0,77.0,28.0,3,2,3,47.0,80.0,0
7.12,83.0,89.0,72.0,60.0,1,0,0,36.0,62.0,0
8.54,60.0,73.0,72.0,66.0,2,0,6,66.0,86.0,0
6.88,92.0,32.0,69.0,79.0,1,1,6,47.0,66.0,0
6.18,69.0,59.0,66.0,55.0,5,0,0,61.0,69.0,0
7.26,71.0,95.0,76.0,77.0,4,1,5,31.0,63.0,0
7.3,78.0,59.0,80.0,65.0,2,0,3,53.0,59.0,0
8.32,59.0,31.0,80.0,36.0,2,1,4,72.0,59.0,1
7.85,81.0,97.0,63.0,34.0,0,1,1,70.0,71.0,0
7.42,90.0,75.0,87.0,82.0,2,1,6,42.0,55.0,1
8.42,82.0,62.0,69.0,84.0,6,1,3,35.0,81.0,0
6.03,59.0,56.0,75.0,67.0,0,0,6,58.0,77.0,0
6.52,77.0,82.0,70.0,89.0,1,0,1,69.0,83.0,0
6.27,87.0,53.0,69.0,81.0,5,0,4,66.0,50.0,0
6.75,55.0,84.0,53.0,74.0,3,1,2,48.0,42.0,0
5.86,65.0,73.0,76.0,44.0,0,0,7,64.0,67.0,0
7.67,89.0,67.0,100.0,94.0,3,0,4,88.0,100.0,1
6.9,81.0,66.0,59.0,71.0,5,1,5,62.0,86.0,0
5.78,83.0,60.0,66.0,54.0,2,0,0,25.0,59.0,0
6.19,100.0,82.0,58.0,48.0,2,0,5,62.0,73.0,0
7.38,84.0,47.0,57.0,66.0,4,1,0,99.0,78.0,1
7.85,86.0,34.0,90.0,29.0,4,0,2,32.0,46.0,0
8.9,100.0,74.0,54.0,74.0,6,1,1,59.0,88.0,1
9.72,75.0,74.0,57.0,43.0,1,2,0,53.0,64.0,0
7.47,68.0,72.0,40.0,68.0,1,2,4,60.0,66.0,1
6.21,83.0,70.0,53.0,51.0,1,0,1,62.0,67.0,0
5.18,83.0,57.0,38.0,56.0,4,0,4,81.0,84.0,0
7.34,72.0,77.0,75.0,47.0,3,1,6,60.0,56.0,0
6.37,66.0,62.0,100.0,58.0,2,1,1,84.0,41.0,0
6.73,100.0,54.0,59.0,97.0,4,1,5,56.0,72.0,0
6.55,82.0,57.0,38.0,87.0,2,0,2,51.0,36.0,0
6.97,69.0,99.0,79.0,68.0,1,0,2,45.0,62.0,0
8.06,89.0,32.0,53.0,61.0,3,0,4,22.0,85.0,0
7.24,77.0,72.0,86.0,77.0,3,0,5,64.0,76.0,0
6.96,75.0,33.0,60.0,82.0,2,0,5,99.0,83.0,0
6.17,85.0,61.0,55.0,45.0,3,2,1,67.0,76.0,0
5.59,62.0,55.0,62.0,60.0,6,0,4,72.0,100.0,1
6.66,82.0,25.0,77.0,26.0,1,1,2,50.0,58.0,0
7.05,100.0,70.0,61.0,82.0,1,2,2,53.0,73.0,1
8.69,84.0,56.0,57.0,100.0,3,0,7,78.0,60.0,0
7.22,73.0,25.0,62.0,63.0,0,1,0,98.0,81.0,0
7.98,72.0,78.0,45.0,21.0,1,1,3,88.0,66.0,0
6.65,73.0,89.0,71.0,73.0,3,0,3,74.0,93.0,0
6.03,75.0,90.0,36.0,44.0,3,0,1,59.0,59.0,0
6.23,73.0,69.0,58.0,48.0,4,1,6,62.0,88.0,0
6.45,89.0,64.0,77.0,73.0,0,1,3,43.0,76.0,0
9.02,57.0,87.0,70.0,66.0,5,1,5,29.0,67.0,1
6.36,88.0,93.0,74.0,52.0,3,3,3,35.0,75.0,1
7.85,73.0,83.0,64.0,49.0,1,0,7,59.0,71.0,0
6.29,83.0,46.0,84.0,63.0,2,1,5,52.0,72.0,0
7.94,64.0,67.0,80.0,53.0,1,1,2,29.0,64.0,0
7.45,94.0,71.0,72.0,40.0,3,1,7,57.0,56.0,0
6.96,93.0,30.0,80.0,55.0,3,1,6,52.0,62.0,0
7.06,90.0,71.0,77.0,67.0,3,1,4,35.0,42.0,0
6.51,60.0,100.0,58.0,58.0,3,2,0,51.0,80.0,0
7.5,88.0,75.0,43.0,34.0,6,0,4,52.0,48.0,1
6.69,83.0,90.0,72.0,80.0,6,1,5,46.0,64.0,1
6.0,59.0,66.0,74.0,9.0,3,0,2,77.0,77.0,0
5.95,78.0,62.0,82.0,53.0,6,1,1,20.0,80.0,0
7.26,82.0,70.0,50.0,49.0,5,1,4,18.0,40.0,0
8.52,85.0,48.0,50.0,64.0,5,1,6,58.0,66.0,1
7.24,80.0,46.0,72.0,72.0,1,0,2,60.0,74.0,0
6.99,81.0,86.0,64.0,82.0,3,1,3,66.0,68.0,1
7.36,96.0,88.0,35.0,47.0,2,0,0,47.0,87.0,0
8.28,93.0,45.0,71.0,72.0,0,0,5,40.0,55.0,0
7.3,44.0,80.0,35.0,65.0,0,0,6,58.0,36.0,0
6.73,74.0,61.0,50.0,28.0,4,2,6,49.0,79.0,0
8.1,76.0,69.0,87.0,97.0,2,0,3,89.0,59.0,1
7.49,57.0,71.0,94.0,34.0,5,3,0,52.0,41.0,1
8.48,79.0,81.0,46.0,69.0,4,0,3,57.0,65.0,0
7.26,93.0,64.0,60.0,68.0,0,1,7,100.0,85.0,0
6.0,65.0,88.0,66.0,66.0,5,1,0,54.0,48.0,0
5.87,82.0,69.0,93.0,52.0,3,1,1,69.0,100.0,0
8.59,67.0,74.0,57.0,77.0,3,1,6,71.0,54.0,1
8.65,70.0,48.0,57.0,31.0,6,1,4,73.0,68.0,1
6.94,96.0,100.0,90.0,60.0,4,2,1,64.0,49.0,0
6.76,71.0,71.0,59.0,50.0,0,1,0,62.0,68.0,0
8.42,84.0,76.0,77.0,48.0,1,0,3,60.0,65.0,0
6.1,56.0,34.0,41.0,69.0,2,0,4,46.0,45.0,0
6.29,100.0,48.0,62.0,81.0,0,1,6,65.0,100.0,0
7.68,85.0,85.0,38.0,54.0,1,1,7,99.0,60.0,0
6.74,76.0,68.0,48.0,76.0,5,1,3,82.0,60.0,1
7.1,85.0,29.0,78.0,62.0,0,1,3,64.0,82.0,0
6.95,61.0,82.0,64.0,44.0,1,0,7,75.0,94.0,0
7.4,92.0,53.0,60.0,56.0,3,1,6,41.0,84.0,1
8.37,74.0,88.0,53.0,55.0,0,1,1,53.0,49.0,0
7.18,76.0,61.0,61.0,48.0,1,1,5,77.0,70.0,0
7.68,72.0,67.0,70.0,69.0,6,1,5,88.0,39.0,0
5.25,71.0,84.0,81.0,65.0,4,2,1,43.0,81.0,1
7.06,86.0,47.0,23.0,31.0,6,1,7,48.0,42.0,0
6.34,81.0,45.0,52.0,30.0,2,3,2,100.0,55.0,0
6.0,86.0,59.0,68.0,69.0,4,0,4,60.0,67.0,0
6.31,78.0,78.0,63.0,46.0,1,1,3,94.0,74.0,0
6.8,84.0,39.0,71.0,67.0,2,1,5,62.0,63.0,0
7.92,73.0,33.0,69.0,76.0,1,0,7,63.0,90.0,0
5.91,100.0,78.0,60.0,37.0,5,0,3,52.0,78.0,0
7.13,59.0,52.0,57.0,34.0,1,1,3,77.0,77.0,0
6.66,93.0,56.0,61.0,93.0,1,0,6,85.0,49.0,0
6.81,94.0,30.0,83.0,68.0,3,2,7,37.0,92.0,1
8.0,68.0,51.0,53.0,53.0,3,0,7,51.0,55.0,0
7.58,100.0,63.0,64.0,43.0,2,0,6,76.0,93.0,0
8.3,90.0,80.0,68.0,51.0,2,1,5,55.0,97.0,1
6.96,90.0,49.0,90.0,38.0,2,0,6,48.0,75.0,0
6.47,78.0,93.0,60.0,78.0,6,0,7,78.0,82.0,0
6.9,75.0,51.0,80.0,46.0,4,1,0,80.0,21.0,0
7.32,75.0,51.0,85.0,82.0,6,1,4,49.0,64.0,0
7.26,83.0,91.0,64.0,53.0,6,0,0,62.0,84.0,1
6.12,95.0,67.0,62.0,41.0,4,1,4,34.0,81.0,0
7.18,80.0,53.0,60.0,53.0,5,1,3,40.0,49.0,0
7.31,67.0,60.0,61.0,11.0,0,1,2,60.0,63.0,0
9.37,88.0,87.0,79.0,59.0,6,0,7,59.0,29.0,1
8.79,89.0,89.0,69.0,58.0,3,0,5,39.0,73.0,0
6.33,86.0,48.0,69.0,77.0,4,2,4,44.0,39.0,1
6.84,87.0,62.0,47.0,25.0,1,1,7,37.0,84.0,0
5.78,75.0,65.0,50.0,83.0,0,0,0,67.0,85.0,0
6.57,67.0,45.0,99.0,77.0,6,2,5,19.0,60.0,1
7.38,68.0,62.0,62.0,85.0,3,0,1,38.0,75.0,0
8.19,58.0,63.0,53.0,60.0,0,1,1,21.0,64.0,0
6.44,81.0,84.0,88.0,80.0,4,1,1,66.0,71.0,1
6.51,77.0,85.0,70.0,33.0,0,3,4,22.0,50.0,0
5.17,73.0,57.0,74.0,75.0,3,3,5,59.0,76.0,0
6.95,43.0,59.0,63.0,46.0,4,0,6,91.0,42.0,0
6.14,63.0,75.0,60.0,30.0,5,1,3,91.0,40.0,0
6.62,91.0,52.0,62.0,40.0,3,0,7,22.0,65.0,0
6.31,70.0,74.0,43.0,61.0,2,1,2,64.0,64.0,0
7.02,82.0,61.0,64.0,45.0,5,1,1,38.0,71.0,0
5.52,61.0,46.0,70.0,68.0,1,0,0,34.0,57.0,0
5.78,95.0,46.0,95.0,27.0,0,0,1,56.0,95.0,0
9.02,76.0,89.0,66.0,21.0,1,0,3,83.0,69.0,1
5.94,81.0,60.0,28.0,87.0,5,0,3,70.0,70.0,1
6.11,100.0,93.0,63.0,78.0,3,0,6,44.0,70.0,0
8.75,96.0,54.0,100.0,41.0,0,2,1,72.0,82.0,1
9.71,74.0,68.0,79.0,61.0,1,1,2,13.0,76.0,0
6.05,71.0,100.0,52.0,80.0,0,1,7,43.0,74.0,0
6.77,74.0,44.0,74.0,69.0,5,2,0,42.0,78.0,1
7.41,84.0,29.0,53.0,64.0,3,1,3,60.0,40.0,0
8.66,77.0,86.0,43.0,82.0,0,0,1,54.0,40.0,0
6.21,73.0,48.0,59.0,47.0,1,2,4,55.0,66.0,0
6.88,96.0,63.0,66.0,62.0,4,1,7,55.0,64.0,1
7.8,77.0,52.0,35.0,61.0,4,1,1,58.0,76.0,1
7.49,100.0,68.0,47.0,56.0,5,2,2,69.0,67.0,1
6.76,79.0,46.0,65.0,54.0,0,1,3,61.0,76.0,0
6.98,99.0,60.0,58.0,62.0,0,1,6,52.0,48.0,0
5.86,82.0,71.0,71.0,62.0,0,2,7,66.0,67.0,0
6.89,90.0,45.0,46.0,41.0,2,0,0,75.0,47.0,0
6.86,69.0,50.0,76.0,76.0,5,1,3,47.0,73.0,0
7.31,68.0,57.0,46.0,42.0,4,0,6,57.0,39.0,0
6.6,84.0,37.0,91.0,57.0,1,0,0,81.0,72.0,0
7.52,90.0,55.0,38.0,55.0,4,1,6,36.0,45.0,0
8.01,78.0,65.0,48.0,68.0,4,0,1,94.0,61.0,0
7.24,63.0,56.0,72.0,21.0,1,3,4,31.0,80.0,0
7.42,62.0,58.0,92.0,78.0,5,0,7,51.0,70.0,0
7.15,61.0,63.0,70.0,48.0,2,1,5,39.0,42.0,0
7.1,57.0,51.0,74.0,84.0,0,0,7,100.0,57.0,0
6.45,79.0,75.0,65.0,52.0,2,3,4,48.0,44.0,1
7.38,92.0,89.0,49.0,60.0,5,0,1,48.0,42.0,0
7.01,78.0,55.0,57.0,97.0,4,0,5,51.0,69.0,0
8.98,51.0,72.0,46.0,56.0,1,0,4,60.0,75.0,1
8.52,76.0,59.0,45.0,85.0,5,1,2,51.0,74.0,1
7.45,76.0,70.0,71.0,62.0,2,3,0,55.0,76.0,1
6.41,100.0,91.0,47.0,69.0,3,3,5,0.0,67.0,0
6.1,61.0,72.0,70.0,62.0,0,0,4,59.0,63.0,0
8.17,73.0,31.0,44.0,77.0,6,1,6,58.0,51.0,1
7.34,98.0,71.0,70.0,48.0,5,0,1,79.0,60.0,1
7.53,83.0,85.0,57.0,42.0,1,1,4,84.0,47.0,0
5.53,85.0,59.0,88.0,49.0,3,1,6,54.0,54.0,0
7.93,79.0,81.0,70.0,63.0,5,0,7,74.0,68.0,1
7.51,82.0,51.0,85.0,57.0,3,1,7,36.0,65.0,1
6.1,87.0,36.0,53.0,74.0,1,2,1,73.0,100.0,0
6.68,68.0,66.0,66.0,86.0,6,0,1,47.0,47.0,1
7.34,89.0,31.0,49.0,42.0,1,0,4,34.0,65.0,0
7.15,62.0,59.0,58.0,47.0,2,0,3,54.0,46.0,0
6.84,82.0,86.0,61.0,34.0,2,0,1,86.0,61.0,0
7.01,80.0,29.0,53.0,100.0,6,0,0,62.0,62.0,0
6.87,71.0,40.0,46.0,67.0,3,1,1,88.0,80.0,0
7.24,78.0,44.0,42.0,70.0,5,0,2,43.0,60.0,0
8.42,71.0,62.0,28.0,36.0,6,1,5,79.0,64.0,1
4.79,65.0,56.0,48.0,61.0,6,2,0,45.0,61.0,0
6.89,74.0,88.0,75.0,71.0,5,2,0,63.0,46.0,1
7.26,65.0,80.0,39.0,56.0,6,1,2,62.0,57.0,0
7.37,82.0,72.0,43.0,81.0,6,0,6,71.0,61.0,0
6.77,64.0,66.0,94.0,100.0,6,0,7,63.0,68.0,1
5.52,87.0,70.0,55.0,43.0,4,0,3,43.0,75.0,0
7.4,64.0,47.0,70.0,42.0,0,3,0,76.0,63.0,0
8.65,71.0,78.0,75.0,44.0,0,3,0,93.0,63.0,1
5.72,71.0,43.0,76.0,92.0,5,0,6,46.0,41.0,0
7.88,94.0,78.0,41.0,81.0,2,0,3,21.0,75.0,0
6.8,82.0,84.0,61.0,58.0,5,1,0,68.0,57.0,0
7.04,75.0,67.0,39.0,62.0,6,0,6,51.0,78.0,0
6.15,84.0,60.0,100.0,45.0,4,3,4,55.0,87.0,1
6.8,53.0,70.0,39.0,78.0,5,0,2,69.0,64.0,0
8.27,77.0,11.0,48.0,54.0,1,0,3,49.0,52.0,0
7.62,100.0,68.0,48.0,56.0,3,0,1,53.0,67.0,0
8.66,80.0,61.0,41.0,73.0,6,0,7,56.0,72.0,0
8.16,79.0,62.0,87.0,57.0,5,0,6,87.0,62.0,0
7.5,85.0,76.0,100.0,57.0,1,2,1,59.0,59.0,0
8.67,89.0,62.0,57.0,61.0,6,0,5,33.0,75.0,1
7.5,54.0,42.0,44.0,76.0,3,1,1,34.0,74.0,0
7.85,58.0,60.0,29.0,92.0,5,0,3,61.0,62.0,1
6.83,81.0,64.0,61.0,72.0,3,0,5,35.0,42.0,0
7.16,69.0,65.0,60.0,76.0,4,0,0,27.0,74.0,0
6.47,94.0,66.0,55.0,57.0,1,0,5,71.0,55.0,0
7.99,74.0,82.0,69.0,48.0,2,0,1,72.0,70.0,0
6.04,55.0,43.0,71.0,73.0,5,0,5,51.0,69.0,0
7.8,63.0,66.0,70.0,64.0,5,1,3,64.0,39.0,0
6.93,45.0,86.0,60.0,34.0,0,1,0,62.0,68.0,1
8.15,75.0,32.0,47.0,55.0,0,2,6,70.0,75.0,0
7.78,76.0,66.0,76.0,59.0,4,0,2,70.0,77.0,0
8.74,73.0,52.0,65.0,51.0,3,1,7,6.0,69.0,0
7.76,91.0,56.0,79.0,89.0,5,1,6,53.0,37.0,1
5.69,92.0,47.0,78.0,70.0,0,0,1,68.0,86.0,0
7.04,76.0,60.0,42.0,87.0,2,0,4,50.0,73.0,1
6.05,52.0,96.0,42.0,66.0,0,1,2,59.0,49.0,0
6.63,85.0,40.0,53.0,63.0,4,1,4,73.0,55.0,0
8.46,85.0,42.0,48.0,43.0,6,0,4,60.0,70.0,0
7.67,82.0,40.0,77.0,61.0,1,0,2,88.0,77.0,0
6.47,90.0,94.0,71.0,61.0,2,3,5,81.0,60.0,1
6.19,64.0,55.0,83.0,35.0,5,0,2,56.0,79.0,0
7.13,100.0,63.0,71.0,51.0,0,2,7,54.0,40.0,0
6.01,66.0,56.0,68.0,55.0,6,1,7,1.0,51.0,1
6.5,87.0,46.0,84.0,69.0,6,2,1,51.0,36.0,0
7.38,58.0,59.0,73.0,70.0,1,1,5,31.0,54.0,0
8.14,67.0,100.0,66.0,50.0,0,0,7,62.0,90.0,1
7.65,96.0,88.0,89.0,70.0,4,1,1,61.0,98.0,1
5.04,75.0,48.0,67.0,58.0,0,1,5,72.0,71.0,0
7.37,88.0,75.0,60.0,6.0,3,1,7,86.0,57.0,0
7.16,81.0,48.0,52.0,52.0,0,0,1,57.0,64.0,0
7.47,77.0,31.0,76.0,82.0,3,0,4,100.0,74.0,0
8.55,94.0,81.0,85.0,29.0,2,0,6,63.0,44.0,1
5.24,75.0,84.0,64.0,63.0,4,0,2,32.0,58.0,0
6.57,57.0,82.0,86.0,91.0,6,1,1,47.0,89.0,0
7.63,68.0,55.0,33.0,47.0,3,2,3,51.0,51.0,1
5.68,85.0,60.0,64.0,61.0,4,1,2,70.0,56.0,0
8.43,83.0,76.0,64.0,36.0,4,1,5,39.0,67.0,0
7.43,59.0,70.0,53.0,92.0,6,0,2,52.0,71.0,0
7.86,69.0,56.0,100.0,59.0,1,0,3,55.0,58.0,0
6.59,71.0,34.0,64.0,62.0,1,0,7,49.0,68.0,0
7.83,74.0,65.0,58.0,87.0,2,0,4,74.0,76.0,0
8.06,61.0,82.0,65.0,74.0,5,0,7,71.0,96.0,1
7.31,70.0,41.0,33.0,44.0,6,0,5,81.0,65.0,0
7.31,69.0,74.0,53.0,49.0,1,0,7,51.0,66.0,0
7.34,87.0,69.0,81.0,70.0,0,1,1,82.0,90.0,1
6.32,88.0,77.0,55.0,49.0,4,0,7,31.0,59.0,0
6.97,76.0,79.0,52.0,21.0,4,0,7,30.0,47.0,0
6.96,73.0,50.0,86.0,60.0,2,0,0,34.0,71.0,0
7.45,80.0,34.0,86.0,33.0,1,1,2,58.0,83.0,0
8.0,68.0,53.0,73.0,92.0,5,1,3,82.0,72.0,1
6.15,64.0,79.0,58.0,64.0,5,0,3,46.0,66.0,0
6.99,67.0,53.0,61.0,44.0,5,0,6,48.0,45.0,0
8.43,70.0,51.0,52.0,48.0,4,2,5,54.0,66.0,1
6.43,64.0,30.0,49.0,25.0,1,1,1,69.0,85.0,0
6.36,80.0,95.0,48.0,40.0,2,1,4,48.0,48.0,0
7.28,87.0,78.0,55.0,80.0,0,1,7,47.0,63.0,1
7.86,59.0,77.0,48.0,100.0,1,1,3,31.0,61.0,0
7.11,78.0,80.0,40.0,75.0,3,2,7,47.0,57.0,1
8.3,75.0,73.0,69.0,59.0,3,0,5,82.0,71.0,0
7.87,82.0,59.0,69.0,53.0,0,1,7,60.0,74.0,0
7.86,78.0,60.0,92.0,43.0,6,0,7,43.0,73.0,0
7.6,61.0,55.0,54.0,100.0,1,1,0,83.0,52.0,0
9.19,63.0,100.0,70.0,57.0,3,0,6,46.0,42.0,1
6.92,78.0,73.0,70.0,100.0,3,0,1,86.0,71.0,0
5.3,90.0,55.0,61.0,87.0,3,2,6,86.0,59.0,0
8.54,51.0,71.0,77.0,28.0,5,2,6,59.0,95.0,1
6.69,82.0,45.0,77.0,48.0,5,0,2,28.0,95.0,0
7.2,92.0,90.0,70.0,48.0,6,3,0,100.0,97.0,1
8.28,76.0,51.0,61.0,59.0,2,0,3,66.0,53.0,0
5.66,85.0,72.0,59.0,60.0,1,0,2,52.0,76.0,0
5.97,70.0,82.0,43.0,100.0,2,2,4,77.0,80.0,1
5.66,77.0,70.0,52.0,41.0,3,0,0,72.0,78.0,0
6.39,59.0,65.0,55.0,65.0,2,0,0,84.0,62.0,0
